iso3,country,anaemia_2023,gdp_pc_2023,resid_income_recent,n_years_recent,resid_context_recent,n_years_context,resid_income_full,anaemia_mean_recent_all,country_effect_fe,feat_gd_stock_anaemia_policies_mean_recent,feat_gd_logstock_anaemia_policies_mean_recent,feat_gifna_anemia_programming_intensity_mean_recent,feat_gd_stock_anaemia_mean_recent,feat_gd_logstock_anaemia_mean_recent,feat_gd_any_anaemia_policies_mean_recent,feat_gd_any_fortification_mean_recent,feat_gifna_policy_count_active_mean_recent,rank_income,rank_context,rank_level_recent,first_anaemia_policy_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,subregion
BEN,Benin,50.0,1263.62158336368,11.192819877869663,9.0,1.1541380622931987,9.0,12.867506459210786,49.15555555555555,13.6643384868169,3.111111111111111,1.3895752486645014,7.666666666666667,3.7777777777777777,1.494020499607998,1.0,1.0,14.0,43.0,23.0,45.0,2009.0,2010.0,YES,WCA
ZAF,South Africa,31.2,5756.55049453121,-6.359474373993155,9.0,1.282546123968416,9.0,-7.715213530084182,28.72222222222222,-12.835220569340517,4.888888888888889,1.771501518473171,12.666666666666666,6.666666666666667,1.9908438546978386,1.0,1.0,23.333333333333332,16.0,24.0,12.0,2002.0,2003.0,YES,ESA
GIN,Guinea,45.7,1016.88094800324,6.852646209418792,9.0,1.4802305885327942,9.0,7.209129311726504,45.166666666666664,9.8841181075632,5.222222222222222,1.8260151758563348,12.777777777777779,6.555555555555555,1.9718136635192423,1.0,1.0,12.222222222222221,36.0,25.0,38.5,1994.0,2006.0,YES,WCA
COG,Congo,46.7,1677.08549205924,10.715555288940118,9.0,1.550351320913396,7.0,13.219591659664088,47.75555555555556,11.43471250276599,3.6666666666666665,1.483694055645857,9.11111111111111,4.111111111111111,1.5476234050795863,1.0,1.0,10.444444444444445,42.0,26.0,43.0,1996.0,2013.0,YES,WCA
CPV,Cabo Verde,40.6,4168.67748407593,4.7830780661429,9.0,1.850420987380988,9.0,6.264334254902656,40.666666666666664,2.7324232802774366,4.0,1.6049021352651833,8.666666666666666,4.888888888888889,1.7269701673394176,1.0,1.0,13.88888888888889,29.0,27.0,28.0,2014.0,2014.0,YES,WCA
BFA,Burkina Faso,44.3,745.405334618409,5.533204174528631,9.0,1.8736100079389106,9.0,7.849864950616568,44.28888888888889,10.904363769685375,6.111111111111111,1.960746970458038,11.222222222222221,6.777777777777778,2.04000806911109,1.0,1.0,15.555555555555555,31.0,28.0,35.0,1999.0,2012.0,YES,WCA
MRT,Mauritania,54.5,1638.99221583023,15.663755227893237,9.0,2.3168770909183647,9.0,15.135477574839738,53.02222222222222,15.009696372850355,2.7777777777777777,1.315194064893098,6.0,4.111111111111111,1.5188142275317993,1.0,1.0,7.888888888888889,45.0,29.0,47.0,1995.0,2010.0,YES,WCA
TCD,Chad,46.5,856.985507283698,8.215500100606489,9.0,2.5740157825577743,9.0,11.0305374076869,46.544444444444444,12.353422214503016,2.5555555555555554,1.2440937686663056,8.777777777777779,2.7777777777777777,1.3080231181000346,1.0,1.0,7.111111111111111,40.0,30.0,42.0,1997.0,2021.0,YES,WCA
CIV,Côte d'Ivoire,51.4,2315.36434710324,13.185173429927879,9.0,2.7438258409312732,9.0,12.761148975519289,50.08888888888889,12.009364808189417,3.2222222222222223,1.4143689765883023,9.222222222222221,3.6666666666666665,1.4891405847263497,1.0,1.0,11.555555555555555,44.0,31.0,46.0,1994.0,,,WCA
SDN,Sudan,34.0,677.723205566406,-5.353733018578669,9.0,2.749853290020142,9.0,-5.562183548817295,32.65555555555555,-4.523081080927035,6.111111111111111,1.949833025371473,10.0,7.0,2.0451052733549426,1.0,1.0,11.0,18.0,32.0,18.0,1995.0,,NO,ESA
KEN,Kenya,32.2,1811.21651838425,-7.705198109978091,9.0,2.799001466959546,9.0,-9.311963841619535,29.599999999999998,-9.107612601711,5.555555555555555,1.877398735798754,14.777777777777779,7.777777777777778,2.154708077634481,1.0,1.0,19.333333333333332,12.0,33.0,15.0,1979.0,2012.0,YES,ESA
AGO,Angola,43.8,2748.95196954248,7.650000506211313,9.0,3.2176387173184438,8.0,9.262948055714405,43.84444444444445,5.665399571781215,1.6666666666666667,0.963457252632055,3.6666666666666665,1.6666666666666667,0.963457252632055,1.0,1.0,6.666666666666667,39.0,34.0,33.0,2012.0,,UNKNOWN,ESA
MWI,Malawi,32.4,557.03523965791,-9.698498250247319,9.0,3.2679004961573987,9.0,-11.469453617790457,29.45555555555556,-7.236268060992153,7.111111111111111,2.0872790933189433,13.11111111111111,8.88888888888889,2.256643549329365,1.0,1.0,14.777777777777779,8.0,35.0,14.0,2003.0,2015.0,YES,ESA
COM,Comoros,29.9,1383.64201759575,-9.604240379396025,9.0,4.378143407385072,9.0,-10.857447472178675,28.0,-10.875567621712918,1.1111111111111112,0.7062341845217657,1.7777777777777777,1.5555555555555556,0.9053185699915497,1.0,1.0,4.0,9.0,36.0,10.0,2012.0,,UNKNOWN,ESA
SWZ,Eswatini,28.3,3790.16576788091,-10.447741459131656,9.0,4.438862032380628,9.0,-11.820837667212807,25.477777777777778,-14.891450836818247,3.0,1.3647815207407001,6.0,3.6666666666666665,1.4692267716841971,1.0,1.0,9.333333333333334,7.0,37.0,7.0,2008.0,,,ESA
MDG,Madagascar,37.2,445.874102052267,-4.472166952297801,9.0,5.749121682045004,9.0,-6.673785762920186,35.05555555555556,-2.357566915296463,0.6666666666666666,0.3662040962227032,2.7777777777777777,1.3333333333333333,0.6742695098049012,1.0,1.0,9.222222222222221,19.0,38.0,21.0,2004.0,,UNKNOWN,ESA
TZA,United Republic of Tanzania,38.8,1092.86413574219,-0.5072555856742843,9.0,6.433692392296991,9.0,-1.2018408089353365,37.58888888888889,0.8910671819247842,4.555555555555555,1.6719824690652356,14.88888888888889,6.777777777777778,1.9739521750071047,1.0,1.0,24.22222222222222,20.0,39.0,23.0,2008.0,,,ESA
MLI,Mali,56.5,892.689219532429,16.21154192259184,9.0,7.323224425640461,9.0,16.722491888500453,54.577777777777776,18.491249358363646,3.4444444444444446,1.4854692728150949,10.333333333333334,4.555555555555555,1.6395019796061938,1.0,1.0,14.444444444444445,46.0,40.0,48.0,2006.0,2010.0,YES,WCA
GAB,Gabon,59.9,6541.25368618042,24.59049135565521,9.0,8.040427330366972,9.0,24.68735129844052,59.455555555555556,18.46363345680831,0.7777777777777778,0.5391144737688464,2.5555555555555554,1.0,0.6611825058430808,0.7777777777777778,1.0,4.222222222222222,47.0,41.0,49.0,2017.0,,UNKNOWN,WCA
BDI,Burundi,39.0,264.84330794512,-6.513970113544478,9.0,8.157624702452226,9.0,-11.372635594138167,33.922222222222224,-4.6741286811655005,3.7777777777777777,1.5598504565864983,6.888888888888889,4.666666666666667,1.690469715453636,1.0,1.0,12.88888888888889,14.0,42.0,20.0,2003.0,2015.0,YES,ESA
MOZ,Mozambique,47.0,610.591041611538,6.87095207025218,9.0,11.191728031124832,9.0,5.781676607149154,45.86666666666667,9.810245239324052,4.666666666666667,1.7278555195226595,7.777777777777778,5.888888888888889,1.872220295537133,1.0,1.0,10.0,37.0,43.0,41.0,2011.0,2016.0,YES,ESA
ERI,Eritrea,35.6,,,,,,-7.453857048746197,33.53333333333333,-5.77218314558244,2.4444444444444446,1.226470987535568,4.555555555555555,3.111111111111111,1.3805036943266669,1.0,1.0,7.111111111111111,,,19.0,2012.0,,UNKNOWN,ESA
GNQ,Equatorial Guinea,41.3,4992.26076814571,6.4237687303277395,9.0,,3.0,8.417694075701297,41.37777777777777,1.0171024731296772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.111111111111111,35.0,,31.0,,,UNKNOWN,WCA
LSO,Lesotho,34.2,973.116561960912,-9.385455548742849,9.0,,,-12.310210308180514,28.700000000000003,-11.008993825491054,3.2222222222222223,1.4358818169674927,6.111111111111111,3.6666666666666665,1.5106534251055401,1.0,1.0,9.444444444444445,11.0,,11.0,2006.0,2020.0,YES,ESA
MUS,Mauritius,32.8,11330.7335655767,-6.377292451729758,9.0,,,-13.331037861979793,27.744444444444444,-19.38188063643769,0.5555555555555556,0.3850817669777474,1.5555555555555556,0.5555555555555556,0.3850817669777474,1.0,1.0,7.888888888888889,15.0,,9.0,2009.0,2024.0,YES,ESA
SSD,South Sudan,35.0,,,1.0,,,-7.5685264037440705,32.400000000000006,-8.488830864934702,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,2.6666666666666665,,,17.0,,,UNKNOWN,ESA
SYC,Seychelles,25.8,16286.8557867673,-9.583426975771902,9.0,,,-12.039791712321126,23.677777777777777,-20.876085416703006,0.2222222222222222,0.15403270679109896,0.2222222222222222,1.7777777777777777,0.6161308271643958,0.2222222222222222,1.0,10.222222222222221,10.0,,4.0,2022.0,,UNKNOWN,ESA
