spec,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
alt_logstock_anaemia,out_anaemia_wra_fs_pct,feat_gd_logstock_anaemia_lag3,-0.277817617046247,0.41283516910450563,-1.088022107635228,0.5323868735427342,0.5011472544990496,994,49,2003-2023,0.013184964395745569
alt_logstock_anaemia,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.731542145007041,1.642135947873303,-1.491211192627688,4.95429548264177,0.29195513572125,994,49,2003-2023,0.013184964395745569
alt_any_anaemia_policies,out_anaemia_wra_fs_pct,feat_gd_any_anaemia_policies_lag3,0.8106254221064839,0.6691135865701077,-0.5025350669311337,2.1237859111441013,0.22601715874312167,994,49,2003-2023,0.02388133728521802
alt_any_anaemia_policies,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.2418831249523816,1.4765900275565522,-1.655980140137766,4.1397463900425295,0.4005388622321031,994,49,2003-2023,0.02388133728521802
alt_any_anaemia_policies_trend,out_anaemia_wra_fs_pct,feat_gd_any_anaemia_policies_lag3,-0.7164459889523491,0.2484608989754174,-1.203420402510612,-0.2294715753940862,0.003932374847185189,994,49,2003-2023,0.06804281206404739
alt_any_anaemia_policies_trend,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-0.12988477215641359,0.9512256697279282,-1.9942528259931451,1.734483281680318,0.8913907327769572,994,49,2003-2023,0.06804281206404739
alt_any_fortification,out_anaemia_wra_fs_pct,feat_gd_any_fortification_lag3,-0.49276243576307854,0.8344682052098866,-2.130437560635086,1.1449126891089287,0.5549928404632065,994,49,2003-2023,0.013450150514415005
alt_any_fortification,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.6241919314091902,1.528463641288802,-1.3754752446222465,4.623859107440627,0.28822753591204897,994,49,2003-2023,0.013450150514415005
alt_any_fortification_trend,out_anaemia_wra_fs_pct,feat_gd_any_fortification_lag3,0.6670648268065058,0.32762338033511984,0.02493480085640276,1.3091948527566089,0.04174311499123274,994,49,2003-2023,0.02816684363428057
alt_any_fortification_trend,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-0.333683521863124,1.011079094921805,-2.315362133431216,1.6479950897049682,0.7413794702464902,994,49,2003-2023,0.02816684363428057
alt_team_policy_count_active,out_anaemia_wra_fs_pct,feat_gifna_policy_count_active_lag3,-0.015688254927982644,0.09296847684335471,-0.19814237477705057,0.16676586492108528,0.8660317451893107,994,49,2003-2023,0.01060049543259134
alt_team_policy_count_active,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.6692628050089118,1.8619192719134003,-1.984823542553523,5.323349152571346,0.37020458450501414,994,49,2003-2023,0.01060049543259134
outcome_out_anaemia_pregnant_pct,out_anaemia_pregnant_pct,feat_gd_stock_anaemia_policies_lag3,-0.04732012072812114,0.1140750345646094,-0.2711966510848249,0.1765564096285826,0.6783731858421602,994,49,2003-2023,0.0021433609983674273
outcome_out_anaemia_pregnant_pct,out_anaemia_pregnant_pct,log_gdp_pc_constant,0.379322487765911,1.1573413450937162,-1.8920032739737684,2.6506482495055903,0.7431724991079998,994,49,2003-2023,0.0021433609983674273
outcome_out_women_underweight_pct,out_women_underweight_pct,feat_gd_stock_anaemia_policies_lag3,0.05762416515891969,0.06197055629960909,-0.0640037503224407,0.1792520806402801,0.35269757890028974,947,49,2003-2022,0.03846427881834835
outcome_out_women_underweight_pct,out_women_underweight_pct,log_gdp_pc_constant,-0.9279935186725848,0.49178505533156097,-1.8932065926956199,0.03721955535045007,0.05949172440553485,947,49,2003-2022,0.03846427881834835
outcome_out_women_overweight_pct,out_women_overweight_pct,feat_gd_stock_anaemia_policies_lag3,-0.11699089238362002,0.12799258617312606,-0.3681984396911131,0.13421665492387302,0.3609447972899882,947,49,2003-2022,0.010606750314217206
outcome_out_women_overweight_pct,out_women_overweight_pct,log_gdp_pc_constant,1.0403585805270121,1.6219958794719735,-2.1430883581408025,4.223805519194826,0.5214262462741113,947,49,2003-2022,0.010606750314217206
outcome_out_lbw_pct,out_lbw_pct,feat_gd_stock_anaemia_policies_lag3,-0.012383518672089928,0.04842545830156692,-0.10749870597596548,0.0827316686317856,0.7982572338043039,621,35,2003-2020,0.012014030953183763
outcome_out_lbw_pct,out_lbw_pct,log_gdp_pc_constant,-0.38805434850635,0.5920735796141713,-1.55097962371961,0.7748709267069102,0.512465942517677,621,35,2003-2020,0.012014030953183763
outcome_out_women_index,out_women_index,feat_gd_stock_anaemia_policies_lag3,-0.005210680734946092,0.007629377649990572,-0.020184651526850807,0.009763290056958623,0.4948024723803608,947,49,2003-2022,0.006968762793047145
outcome_out_women_index,out_women_index,log_gdp_pc_constant,0.03641180151428658,0.07504462950979685,-0.11087623978098174,0.1836998428095549,0.6276542673924068,947,49,2003-2022,0.006968762793047145
survey_anchored,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03574014744967137,0.27833290727094856,-0.6089775004740986,0.5374972055747559,0.8988535846272692,80,33,2003-2023,0.1312696958159114
survey_anchored,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-5.797275094001878,4.660405095679973,-15.395559060002704,3.801008871998948,0.22505858999742623,80,33,2003-2023,0.1312696958159114
income_only,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.2087678274982607,1.3853809503186036,-1.509627042129081,3.9271626971256026,0.38312385764587065,1135,49,2000-2023,0.006971661871184587
sub_feat_fies_severe_total_pct_3yr,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.020599744574192308,0.15196200657378908,-0.27881582530878035,0.3200153144571649,0.8922888646206486,280,39,2015-2023,0.038183442162925574
sub_feat_fies_severe_total_pct_3yr,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-2.8838484110763627,4.6214074946937425,-11.989554435123011,6.221857612970286,0.5332332047684052,280,39,2015-2023,0.038183442162925574
sub_feat_fies_severe_total_pct_3yr,out_anaemia_wra_fs_pct,feat_fies_severe_total_pct_3yr,0.06685720717187428,0.08650538705888632,-0.10358710550970802,0.2373015198534566,0.4403942830060952,280,39,2015-2023,0.038183442162925574
sub_feat_fies_gap_fm_3yr,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.05790847383647217,0.15139902288485688,-0.24039783139636173,0.3562147790693061,0.7024518334928826,280,39,2015-2023,0.07073892862335196
sub_feat_fies_gap_fm_3yr,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-3.3062524552628423,4.016258459137275,-11.219614106985816,4.607109196460131,0.4112373041098196,280,39,2015-2023,0.07073892862335196
sub_feat_fies_gap_fm_3yr,out_anaemia_wra_fs_pct,feat_fies_gap_fm_3yr,-0.26910582805355826,0.13335986075358,-0.5318689989758768,-0.006342657131239715,0.044763890418123564,280,39,2015-2023,0.07073892862335196
