exposure,lag,income,controls,estimator,coef_per_within_sd,ci_low,ci_high,p,n_obs,sd_within,spec_id,excludes_zero
feat_gifna_anemia_programming_intensity,2,current,none,ldv,-0.05709662125275257,-0.1146401695742771,0.0004469270687719535,0.05180610892495028,1052,3.351604051626989,87,False
feat_gifna_anemia_programming_intensity,2,constant,none,ldv,-0.05614136291921501,-0.11330831271992166,0.0010255868814916334,0.054254155479367905,1041,3.3503157141701414,88,False
feat_gd_logstock_anaemia_policies,5,current,context,fe_trend,-0.05526087776311797,-0.21161719883330127,0.10109544330706532,0.48849259392978606,851,0.5505716489968483,89,False
feat_gd_stock_anaemia_policies,2,current,none,fe_trend,-0.05478872962355934,-0.23223955170327015,0.12266209245615146,0.5450809375939429,1052,1.6748623564807652,90,False
feat_gd_stock_anaemia_policies,3,current,context,fe_trend,-0.053569975828044125,-0.2252524109760222,0.11811245931993392,0.5408246184370735,941,1.6933626911112152,91,False
feat_gifna_anemia_programming_intensity,5,constant,context,ldv,-0.05270612371074075,-0.11145425300145892,0.006042005579977419,0.07868122795066984,843,3.318642988376446,92,False
feat_gifna_anemia_programming_intensity,5,current,context,ldv,-0.052103558634646566,-0.11124514926569412,0.007038031996400991,0.08421756394808995,851,3.311329111778289,93,False
feat_gd_logstock_anaemia,3,constant,context,fe_trend,-0.05003855631948964,-0.22098646079850878,0.1209093481595295,0.5661670456191427,931,0.6248147359866777,94,False
feat_gd_logstock_anaemia_policies,2,current,none,fd,-0.049211607590223104,-0.08520774710863173,-0.01321546807181447,0.007372411129129857,1003,0.5497723301485039,95,True
feat_gifna_anemia_programming_intensity,3,current,context,fe,-0.048460919210382515,-0.5437874000323583,0.4468655616115932,0.8479336044258503,941,3.43009999135482,96,False
feat_gd_logstock_anaemia_policies,2,constant,none,fd,-0.04658257293324434,-0.0843758852069018,-0.008789260659586889,0.015701730633714727,992,0.54734159880414,97,True
feat_gifna_anemia_programming_intensity,3,current,context,ldv,-0.045595876907001426,-0.10176271556430347,0.010570961750300612,0.11159019902154213,941,3.43009999135482,98,False
feat_gifna_anemia_programming_intensity,3,constant,context,ldv,-0.04540650244765925,-0.1009916257990151,0.010178620903696603,0.1093636629682682,931,3.4329069367611673,99,False
feat_gd_stock_anaemia_policies,5,current,none,ldv,-0.04506809902279314,-0.10289050004910154,0.01275430200351526,0.12660178040747605,908,1.5647127168847261,100,False
feat_gd_logstock_anaemia,3,current,none,fe_trend,-0.04458983757452582,-0.1954668247414671,0.10628714959241545,0.5624250546185661,1004,0.6262632623078961,101,False
feat_gd_stock_anaemia_policies,5,constant,none,ldv,-0.044389573282390016,-0.10220114154959192,0.01342199498481187,0.13234384686631817,900,1.5697075449485447,102,False
feat_gifna_anemia_programming_intensity,2,current,context,ldv,-0.04329429883445821,-0.09707656150390614,0.010487963834989723,0.11462176614003157,986,3.454351268435313,103,False
feat_gd_stock_anaemia_policies,2,current,none,fd,-0.04295941503239775,-0.09208415158257635,0.00616532151778085,0.08653206142139871,1003,1.6551928981489414,104,False
feat_gifna_anemia_programming_intensity,2,constant,context,ldv,-0.04265411488636464,-0.09569398830485752,0.010385758532128246,0.11498371264189104,975,3.4541599315253966,105,False
feat_gd_stock_anaemia_policies,2,current,none,ldv,-0.04253692403621864,-0.09827010099706422,0.013196252924626934,0.1346816817897293,1052,1.6748623564807652,106,False
feat_gd_stock_anaemia_policies,3,constant,context,fe_trend,-0.042109136237483843,-0.21278852196703818,0.12857024949207047,0.6287037135678787,931,1.6975000168815195,107,False
feat_gd_stock_anaemia_policies,3,current,none,ldv,-0.04202611303784464,-0.09873832375492422,0.014686097679234943,0.14638623605233805,1004,1.6525873533211561,108,False
feat_gd_stock_anaemia_policies,2,constant,none,ldv,-0.04165783176496431,-0.09724016373755327,0.013924500207624644,0.14184545649749117,1041,1.6774027751050342,109,False
feat_gd_stock_anaemia_policies,3,constant,none,ldv,-0.04113293658207886,-0.09774981290624565,0.01548393974208794,0.15446363993504786,994,1.6561431278819485,110,False
feat_gd_logstock_anaemia,3,constant,none,fe_trend,-0.04111726095037834,-0.1966795627764172,0.11444504087566051,0.6044265231660484,994,0.625717443460475,111,False
feat_gd_stock_anaemia,5,current,none,ldv,-0.04073100080921245,-0.10278465630422545,0.02132265468580054,0.19827273955678304,908,2.399636329049192,112,False
feat_gd_logstock_anaemia_policies,5,constant,context,fe_trend,-0.04057370190509934,-0.19801092670815623,0.11686352289795754,0.613482123095822,843,0.551552116335201,113,False
feat_gd_stock_anaemia_policies,2,constant,none,fd,-0.04028423210504496,-0.09032366046709554,0.009755196257005628,0.11459579402258266,992,1.6566505045538795,114,False
feat_gd_stock_anaemia,5,constant,none,ldv,-0.040195239218817395,-0.10235845848018814,0.02196798004255335,0.20503784363269006,900,2.4080274073370025,115,False
feat_gd_logstock_anaemia,5,current,none,ldv,-0.039047218786336435,-0.09575200517855624,0.01765756760588337,0.17713095147822755,908,0.6292924082873151,116,False
feat_gd_logstock_anaemia,5,constant,none,ldv,-0.0381711802829285,-0.09512645499118082,0.018784094425323822,0.188994506514352,900,0.6302822615943366,117,False
feat_gd_logstock_anaemia,2,current,none,ldv,-0.03756082132977741,-0.0870104007695947,0.011888758110039878,0.13655430182634345,1052,0.6220557226102832,118,False
feat_gd_stock_anaemia,3,current,none,ldv,-0.03737502869215873,-0.09373691603843344,0.01898685865411598,0.193702805564138,1004,2.3533874143628317,119,False
feat_gd_stock_anaemia,2,current,none,ldv,-0.03729028046174002,-0.0913538956088863,0.01677333468540627,0.17641319382848253,1052,2.327027986709625,120,False
feat_gd_logstock_anaemia,3,constant,context,fe,-0.037050459891117715,-0.39482805690581446,0.32072713712357903,0.8391596863044608,931,0.6248147359866777,121,False
feat_gd_logstock_anaemia,3,current,none,ldv,-0.036881892196134025,-0.08819873087689072,0.014434946484622667,0.15894032606182573,1004,0.6262632623078961,122,False
feat_gd_logstock_anaemia_policies,2,current,none,ldv,-0.03671888392971581,-0.08900305290683101,0.01556528504739938,0.1686755774139852,1052,0.5591756640678637,123,False
feat_gd_stock_anaemia,3,constant,none,ldv,-0.03644224072178276,-0.0928545032449834,0.01997002180141789,0.20546513885906026,994,2.360327350721747,124,False
feat_gd_stock_anaemia,2,constant,none,ldv,-0.03621399117377383,-0.09036940445472436,0.01794142210717669,0.1899802450184852,1041,2.332978452866306,125,False
feat_gd_logstock_anaemia,2,constant,none,ldv,-0.03616051467598867,-0.08606175995146387,0.013740730599486509,0.15552871358695117,1041,0.6205384782762062,126,False
