iso3,year,malaria_incidence_per1000,fertility_rate,urban_pct,employment_pop_pct,hiv_prev_pct,health_exp_pc_usd,sanitation_basic_pct,open_defecation_pct
BWA,2014,1.44,3.027,65.0965122400825,50.472,22.1,418.82452393,66.5214936855642,10.756001847502
BWA,2015,0.31,3.008,65.4103584313295,50.428,21.8,374.79058838,67.2288878869323,10.1391196686848
BWA,2016,0.67,2.99,65.6949296854899,50.389,21.4,389.3107605,67.9129615984092,9.54042883278264
BWA,2017,1.96,2.969,65.9456435684731,50.419,20.9,471.05056763,68.5731443566445,8.96010589046588
BWA,2018,0.53,2.941,66.1579176461888,50.697,20.3,447.4473877,69.2069921595304,8.3999517713965
BWA,2019,0.17,2.906,66.3271694845464,50.724,19.7,438.28546143,69.8150599678289,7.85911899861236
BWA,2020,1.13,2.861,66.4488166494554,48.415,19.0,386.28860474,70.3974291175514,7.33719011646553
BWA,2021,0.67,2.827,66.5182767068255,49.208,18.2,492.14276123,70.9542350453954,6.83370264105856
BWA,2022,0.34,2.785,66.5889787170477,49.361,17.4,477.77633667,71.4864919930582,6.34746483710432
BWA,2023,0.47,2.732,67.0212655349864,52.313,16.6,489.59677124,71.9941392506475,5.87821782155524
BWA,2024,0.2,2.703,67.4623537838418,52.243,15.7,,72.115456599001,5.42516672493848
BWA,2025,,,67.9559561532102,51.958,,,,
CAF,2000,438.12,5.851,37.7014879765364,68.469,7.5,9.9123354,20.5939671158027,22.6650891810619
CAF,2001,438.51,5.807,37.7560236207831,68.426,7.3,9.20995235,20.5472812527442,22.8377343788281
CAF,2002,447.85,5.785,37.8169752995511,68.379,7.0,10.44132614,20.5005930190466,23.0099075189963
CAF,2003,455.24,5.799,37.8863171931924,68.347,6.7,12.15000153,20.4536055406808,23.1819064066855
CAF,2004,461.27,5.784,37.9626889392062,68.393,6.4,12.96809387,20.4063183359002,23.3537303080458
CAF,2005,465.26,5.812,38.0448510426866,68.406,6.0,13.93517494,19.9721484876891,23.5190160547678
CAF,2006,467.93,5.84,38.134433681123,68.479,5.7,15.15495491,19.5450443579564,23.6776980796945
CAF,2007,467.59,5.867,38.2343339436079,68.544,5.5,18.24629021,19.1248924348841,23.8293988100388
CAF,2008,465.74,5.902,38.3474489192338,68.602,5.2,18.02888489,18.7110288344225,23.9743581843229
CAF,2009,463.55,5.936,38.476675697093,68.611,5.1,21.37773895,18.3030854351949,24.1125118049761
CAF,2010,453.11,5.963,38.6244963104203,68.621,4.9,17.01008034,17.9009516216973,24.2434793658533
CAF,2011,443.04,6.009,38.8030669465007,68.714,4.6,19.62990761,17.5040118095515,24.3675021265007
CAF,2012,434.79,6.047,39.0301696038517,68.884,4.4,21.33021736,17.1121597682915,24.4842027524404
CAF,2013,427.32,6.075,39.3042963482777,69.036,4.2,17.36794472,16.7250416550218,24.5935139342063
CAF,2014,420.39,6.099,39.6226521868738,69.169,4.0,18.7120266,16.3420825760043,24.6956730797882
CAF,2015,410.31,6.126,39.9824421267351,69.181,3.8,18.44194221,15.9631877672806,24.790303569272
CAF,2016,395.97,6.126,40.3808711749566,69.166,3.6,21.07796097,15.5882414691861,24.8770186348387
CAF,2017,387.44,6.127,40.8151443386334,69.14,3.4,28.81619644,15.2164870297134,24.9563766335719
CAF,2018,385.26,6.108,41.2824666248606,69.153,3.3,51.3541069,14.8478356260426,25.0279964388468
CAF,2019,383.29,6.09,41.7800430407332,69.08,3.1,35.76099014,14.481982156805,25.0918034966502
CAF,2020,376.08,6.059,42.3050785933463,67.986,3.0,42.63476563,14.1186349646869,25.1477309860778
CAF,2021,364.25,6.052,42.8547782897949,67.76,2.8,46.25038147,13.7575074575386,25.1957088549697
CAF,2022,354.5,6.023,43.2751967457285,68.81,2.7,47.91523361,13.8462941483121,25.0446350064242
CAF,2023,345.98,6.012,43.6983692134165,68.886,2.5,53.81136703,13.939220081887,24.8865191799163
CAF,2024,343.84,5.954,44.1243555638904,68.83,2.4,,14.0362838980325,24.7213622058804
CAF,2025,,,44.5532156681816,68.802,,,,
CIV,2000,490.52,5.773,43.0840065011913,62.308,6.7,30.33073425,20.0416175559052,38.1705180717979
CIV,2001,502.24,5.704,43.4670149035012,62.216,6.4,30.58369255,20.7171311612942,37.1710728695869
CIV,2002,506.32,5.641,43.859032147728,62.154,6.0,32.55319595,21.3928455958678,36.1802292333804
