iso3,year,gdp_pc_constant_2015_usd
MWI,2016,538.221990810959
MWI,2017,544.795729220349
MWI,2018,553.528790902088
MWI,2019,569.866249371948
MWI,2020,559.447086086067
MWI,2021,569.968967322435
MWI,2022,560.635759714941
MWI,2023,557.03523965791
MWI,2024,551.95152347056
MWI,2025,548.160446261232
NAM,2000,3083.59657884697
NAM,2001,3055.40444831936
NAM,2002,3145.94566281247
NAM,2003,3232.30589658857
NAM,2004,3582.89503259701
NAM,2005,3627.75059772278
NAM,2006,3834.99894666178
NAM,2007,3987.61796106565
NAM,2008,4036.38187484707
NAM,2009,3989.20711387651
NAM,2010,4165.12990200988
NAM,2011,4302.72451368462
NAM,2012,4420.96741373862
NAM,2013,4549.26759093897
NAM,2014,4701.95694189098
NAM,2015,4774.10650865775
NAM,2016,4648.62713460213
NAM,2017,4476.73324402105
NAM,2018,4400.47537705743
NAM,2019,4243.09274481966
NAM,2020,3787.49943973286
NAM,2021,3809.80753359714
NAM,2022,3905.55135268164
NAM,2023,3973.49010579998
NAM,2024,4032.40150676649
NAM,2025,4019.02686256106
NER,2000,392.898616941042
NER,2001,406.923493665264
NER,2002,412.123793192578
NER,2003,406.333757497876
NER,2004,393.398781453199
NER,2005,407.190931059924
NER,2006,415.852022114801
NER,2007,413.419126261066
NER,2008,429.195542798877
NER,2009,421.650901333136
NER,2010,441.079166112039
NER,2011,434.986264873953
NER,2012,463.066265496402
NER,2013,469.690214200878
NER,2014,482.74524741946
NER,2015,485.662574175279
NER,2016,488.184823801581
NER,2017,497.172608329608
NER,2018,513.423699765289
NER,2019,526.60361746086
NER,2020,532.208221196997
NER,2021,520.912751008043
NER,2022,565.873385794358
NER,2023,561.960694711722
NER,2024,589.085643279512
NER,2025,610.375535148154
NGA,2000,1421.67987952016
NGA,2001,1465.45720342369
NGA,2002,1644.39518877708
NGA,2003,1717.21451111739
NGA,2004,1824.80269456838
NGA,2005,1889.25175325842
NGA,2006,1949.15856804582
NGA,2007,2020.83316299437
NGA,2008,2098.2833922073
NGA,2009,2204.60725603823
NGA,2010,2315.46676509642
NGA,2011,2370.97657091881
NGA,2012,2403.65387896987
NGA,2013,2495.34106573862
NGA,2014,2583.61556958171
NGA,2015,2585.73360671797
NGA,2016,2481.81490350403
NGA,2017,2441.71236404537
NGA,2018,2431.77857832597
NGA,2019,2431.53528475874
NGA,2020,2228.68631426529
NGA,2021,2206.66406255564
NGA,2022,2254.29080414598
NGA,2023,2280.67777167162
NGA,2024,2324.59702394542
NGA,2025,2368.53866265659
RWA,2000,331.096659537835
RWA,2001,356.017640545099
RWA,2002,397.558649363458
RWA,2003,397.480382602602
RWA,2004,415.943819000396
RWA,2005,443.00802474736
RWA,2006,471.150850642442
RWA,2007,493.803359157317
RWA,2008,534.678298622161
RWA,2009,553.621518556047
RWA,2010,579.419162804581
RWA,2011,610.376236415572
RWA,2012,647.436613845487
RWA,2013,661.893969452494
RWA,2014,682.709499066795
RWA,2015,725.691418696952
RWA,2016,748.798132068173
RWA,2017,765.845359390541
RWA,2018,808.704812752127
RWA,2019,863.872077583172
RWA,2020,821.257133282758
RWA,2021,871.041835304187
RWA,2022,935.89483254264
RWA,2023,993.911004643524
RWA,2024,1043.15961499906
RWA,2025,1116.46998633814
SDN,2000,1111.11865234375
SDN,2001,1150.17626953125
SDN,2002,1185.21533203125
SDN,2003,1226.42077636719
SDN,2004,1255.67114257813
SDN,2005,1290.24438476563
SDN,2006,1336.1240234375
SDN,2007,1372.10961914063
SDN,2008,1381.62561035156
SDN,2009,1301.34729003906
SDN,2010,1311.22314453125
SDN,2011,1388.21813964844
SDN,2012,1288.25854492188
SDN,2013,1283.45922851563
SDN,2014,1307.3896484375
SDN,2015,1292.37963867188
SDN,2016,1297.15454101563
SDN,2017,1261.87353515625
SDN,2018,1185.94445800781
SDN,2019,1126.55297851563
SDN,2020,1056.86474609375
SDN,2021,1009.54888916016
SDN,2022,973.225280761719
SDN,2023,677.723205566406
SDN,2024,578.38916015625
SDN,2025,582.114074707031
SEN,2000,1048.37474052363
SEN,2001,1067.36886550595
SEN,2002,1042.25509944289
SEN,2003,1074.38578467686
SEN,2004,1098.20064546027
SEN,2005,1119.0505307548
SEN,2006,1118.7830430051
SEN,2007,1123.99862153285
SEN,2008,1138.66883930214
SEN,2009,1142.65317233964
SEN,2010,1153.53431121583
SEN,2011,1139.74447892639
SEN,2012,1154.05677992367
SEN,2013,1147.3859217191
SEN,2014,1180.7987108505
SEN,2015,1218.00613555438
